Parent ID,Parent Cycle,Child ID,Child Cycle
2020_HCA_21_0104_429,2022,2020_HCA_21_0104_429,2023
2017 27_0041 6_L3,2017,2018 27_0041 6_L3,2018
2018 24_0105 204,2018,2019 24_0105 204,2019
2020_CLASS3_01_12_364,2020,2020_CLASS3_01_12_364_2021,2021
2020_CLASS3_01_12_370,2020,2020_CLASS3_01_12_370_2021,2021
2020_CLASS3_01_12_370,2020,2020_710_01_0036_370,2023
2020_CLASS3_01_12_372,2020,2020_CLASS3_01_12_372_02_2021,2021
2020_CLASS3_01_12_372,2020,2020_CLASS3_01_12_372_01_2021,2021
2020_CLASS3_01_12_372,2020,2020_CLASS3_01_12_372_03_2021,2021
2017 27_0022 121_S,2017,2018 27_0022 121_S,2018
2017 21_1001 222-2070_S,2017,2018 21_0084 222_S,2018
2018 23_0024 113,2018,2019 23_0024 113,2019
2018 23_0023 113_2,2018,2019 23_0023 113_2,2019
2018 23_0014 11_L,2018,2019 23_0014 11_L,2019
2018 23_0014 11,2018,2019 23_0014 11,2019
2017 07_0016 378_L,2017,2018 07_0016 378_L,2018
2019 04_0008 332,2019,2020 04_0008 332,2020
2017 17_0103 383,2017,2018 17_0103 383,2018
2017 25_0114 177,2017,2018 25_0114 177,2018
2017 27_1001 128_LR,2017,2018 27_0229 128_LR,2018
2017 25_0133 235_L,2017,2018 25_0133 235_L,2018
2017 23_0051 2_L7,2017,2018 23_0051 2_L7,2018
2017 27_0137 125,2017,2018 27_0137 125,2018
2017 01_0124 260_1,2017,2018 01_0124 260_1,2018
2017 25_0106 161_1,2017,2018 25_0106 161_1,2018
2017 25_0044 94_S,2017,2018 25_0044 94_S,2018
2017 22_0012 1_S,2017,2018 22_0012 1_S,2018
2019 26_0036 204,2019,2020 26_0036 204,2020
2020_CLASS3_01_13_258_S,2020,2020_CLASS3_01_13_258_S_2021,2021
2017 10_0062 282,2017,2018 10_0062 282,2018
2019 26_0049 204,2019,2020 26_0049 204,2020
2019 27_0079 204,2019,2020 27_0079 204,2020
2017 07_0001C 378,2017,2018 07_0088 378,2018
2017 01_0028 372,2017,2018 01_0028 372,2018
2007 21_0028 1,2007,2011 21_0028 1,2011
2019 27_0094 204,2019,2020 27_0094 204,2020
2019 27_0096 204,2019,2020 27_0096 204,2020
2020_CLASS3_01_13_257_S,2020,2020_CLASS3_01_13_257_S_2021,2021
2019 27_0230 204,2019,2020 27_0230 204,2020
2017 10_0066 281_L3,2017,2018 10_0066 281_L3,2018
2020_CLASS3_01_13_364,2020,2020_710_01_0032_364,2023
2017 31_0258 210,2017,2018 31_0258 210,2018
2020_CLASS3_01_13_369,2020,2020_CLASS3_01_13_369_2021,2021
2020_CLASS3_01_13_370,2020,2020_CLASS3_01_13_370_2021,2021
2020_CLASS3_01_13_372,2020,2020_CLASS3_01_13_372_2021,2021
2017 31_0253 208,2017,2018 31_0253 208,2018
2017 31_0001 208,2017,2018 31_0001 208,2018
2020 23_0023 113_2,2020,2021 23_0023 113_2,2021
2017 25_0080 232_L2,2017,2018 25_0080 232_L2,2018
2017 26_0012 395_2,2017,2018 26_0012 395_2,2018
2020_CLASS3_01_13_402_S,2020,2020_CLASS3_01_13_402_S_2021,2021
2020_CLASS3_01_13_402_S,2020,2020_710_01_0054_402_S1,2023
2017 24_0098 419,2017,2018 24_0098 419,2018
2020_CLASS3_01_14_001,2020,2020_CLASS3_01_14_001_2021,2021
2017 31_0148 205,2017,2018 31_0148 205,2018
2020_CLASS3_01_14_257_S,2020,2020_CLASS3_01_14_257_S_2021,2021
2017 25_0011 235_L,2017,2018 25_0011 235_L,2018
2020_CLASS3_01_14_258_L,2020,2020_CLASS3_01_14_258_L_2021,2021
2020_CLASS3_01_14_369,2020,2020_CLASS3_01_14_369_2021,2021
2017 21_1001 222-2070_L,2017,2018 21_0084 222_L,2018
2020_CLASS3_01_14_370,2020,2020_CLASS3_01_14_370_2021,2021
2020_CLASS3_01_14_372,2020,2020_CLASS3_01_14_372_2021,2021
2020_CLASS3_01_14_207,2020,2020_CLASS3_01_14_207_2021,2021
2017 27_0222 121,2017,2018 27_0222 121,2018
2017 27_0091 406,2017,2018 27_0091 406,2018
2017 27_0215 424,2017,2018 27_0215 424,2018
2017 27_0226 204,2017,2018 27_0226 204,2018
2017 17_0094 384_S,2017,2018 17_0094 384_S,2018
2017 26_0058 171,2017,2018 26_0058 171,2018
2017 26_0024 243_1,2017,2018 26_0024 243_1,2018
2017 27_0216 424,2017,2018 27_0216 424,2018
2017 21_0014 219_L1,2017,2018 21_0014 219_L1,2018
2017 23_0133 85,2017,2018 23_0133 85,2018
2020_CLASS3_01_14_402_S,2020,2020_CLASS3_01_14_402_S_2021,2021
2020_CLASS3_01_14_402_S,2020,2020_710_01_0054_402_S1,2023
2018 27_0226 204,2018,2019 27_0226 204,2019
2018 26_0036 204,2018,2019 26_0036 204,2019
2017 27_0096 204_S,2017,2018 27_0096 204_S,2018
2018 01_0131 402,2018,2019 01_0131 402,2019
2017 03_0010 328,2017,2018 03_0010 328,2018
2017 24_0042 204,2017,2018 24_0042 204,2018
2017 22_0022 129,2017,2018 22_0022 129,2018
2018 27_0087 204,2018,2019 27_0087 204,2019
2020 23_0014 11_L,2020,2021 23_0014 11_L,2021
2017 05_0002 200,2017,2018 05_0002 200,2018
2017 03_0003 328,2017,2018 03_0003 328,2018
2017_HCA_11_0090_423,2022,2017_HCA_11_0090_423,2023
2017 21_0014 16_L,2017,2018 21_0014 16_L,2018
2020_CLASS3_01_15_257_S,2020,2020_CLASS3_01_15_257_S_2021,2021
2017 21_0028 1,2017,2018 21_0028 1,2018
2020_CLASS3_01_15_258_S,2020,2020_CLASS3_01_15_258_S_2021,2021
2020_710_22_0007_129,2022,2020_710_22_0040_129,2023
2020_CLASS3_01_15_369,2020,2020_710_01_0035_369,2023
